fq_name,count
com.blikoon,2
com.bluelinelabs,357
com.bmuschko,9
com.borjabravo.readmoretextview,1
com.bottlerocketstudios.vault,4
com.bpodgursky,8
com.bric,5
com.brsanthu,4
com.bugsnag,16
com.bulenkov,3
com.bumptech.glide,9
com.bumptech.glide.annotation,42
com.bumptech.glide.integration,19
com.bumptech.glide.load,390
com.bumptech.glide.request,283
com.bumptech.glide.util,6
com.burgstaller.okhttp,7
com.calendarfx,12
com.calvinnor,14
com.can_apps,16
com.cantrowitz.rxbroadcast,1
com.carrotsearch,14
com.caverock,20
com.cc.countsdk,1
com.ccfraser,517
com.cedarsoftware,6
com.cesarferreira,8
com.chad,10
com.charleskorn,51
com.chauthai,4
com.chenenyu,10
com.chibatching,21
com.chuckerteam,22
com.cloudbees,12
com.cloudinary,1
com.clouway,4
com.codahale,159
com.codeborne,70
com.codebutler,46
com.codekidlabs.storagechooser,2
com.codingfeline,105
com.cognifide,110
com.commit451,5
com.comphenix,58
com.copperleaf,39
com.corundumstudio,6
com.cottacush,8
com.cout970,636
com.coxautodev,33
com.crashlytics,50
com.cronutils,60
com.ctre,154
com.cuforge,2
com.d3.eth,5
com.daimajia,14
com.damnhandy,2
com.danielgergely,70
com.danielstone,19
com.danneu,11
com.darkprograms,5
com.darkyen,56
com.datastax,196
com.datatheorem,6
com.davemorrissey,31
com.dd,20
com.deflatedpickle,403
com.derongan,64
com.destroystokyo,14
com.devbrackets,6
com.devskiller,8
com.dicedmelon.gradle,1
com.diffplug,33
com.dino,8
com.diogonunes.jcolor,2
com.displee,25
com.dlazaro66.qrcodereaderview,1
com.dlong.rep,1
com.dmarcotte,11
com.doctoror.particlesdrawable,1
com.donkingliang.consecutivescroller,2
com.dovar.dtoast,1
com.dragonbones,1
com.drake.net,1
com.drakeet,16
com.drew,67
com.dropbox,139
com.dtx12,4
com.dumbster.smtp,1
com.dumptruckman,6
com.dvdb,3
com.dylanc,8
com.eclipsesource,12
com.eden,167
com.elbekD,22
com.elvishew,16
com.enginebai,35
com.ensarsarajcic.neovim,4
com.epam,85
com.ericharlow,4
com.esotericsoftware,540
com.evacipated,10
com.evernote,15
com.example,36
com.exozet,19
com.expedia,6
com.expediagroup,180
com.extendedclip.deluxemenus,1
com.f2prateek,11
com.facebook,534
com.faendir,2
com.faltenreich,4
com.fashare,8
com.fasterxml.classmate,5
com.fasterxml.jackson.annotation,4074
com.fasterxml.jackson.core,1466
com.fasterxml.jackson,12
com.fasterxml.jackson.databind.annotation,333
com.fasterxml.jackson.databind.cfg,8
com.fasterxml.jackson.databind.deser,74
com.fasterxml.jackson.databind.exc,34
com.fasterxml.jackson.databind.introspect,23
com.fasterxml.jackson.databind.jsontype,29
com.fasterxml.jackson.databind.module,383
com.fasterxml.jackson.databind.node,605
com.fasterxml.jackson.databind.ser,264
com.fasterxml.jackson.databind.type,48
com.fasterxml.jackson.databind.util,34
com.fasterxml.jackson.dataformat,414
com.fasterxml.jackson.datatype,205
com.fasterxml.jackson.jaxrs,5
com.fasterxml.jackson.jr,3
com.fasterxml.jackson.module,1582
com.fasterxml.uuid,16
com.fatboyindustrial,3
com.fathzer,5
com.fazecast.jSerialComm,3
com.felhr.usbserial,2
com.ferreusveritas,6
com.fievx,2
com.firebase,25
com.fkorotkov,408
com.flask.colorpicker,2
com.flaviofaria.kenburnsview,1
com.flextrade,6
com.floreysoft,8
com.flowpowered,238
com.fondesa,4
com.forkingcode,11
com.formdev,4
com.fortanix,56
com.forte,214
com.franmontiel,9
com.fredboat,114
com.fredporciuncula,2
com.freeletics,15
com.ftd.livepermissions,2
com.ftdichip,6
com.futuremind.recyclerviewfastscroll,2
com.gargoylesoftware,40
com.gatehill.dlcl,7
com.geekorum,125
com.getbase.floatingactionbutton,1
com.getkeepsafe,15
com.giffing,22
com.ginsberg,4
com.github.aachartmodel,28
com.github.aakira,20
com.github.ajalt.clikt.completion,10
com.github.ajalt.clikt.core,484
