groupId:artifactId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
org.springframework.data:spring-data-relational,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-serialization-json-js,2,1,0,0,0,0,1,0,0,0,0,0,0,0
io.kvision:snabbdom-kotlin,1,0,0,0,0,0,1,0,0,0,0,0,0,0
io.github.petertrr:kotlin-multiplatform-diff-js,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.kgl:kgl-glfw,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.kgl:kgl-glfw-static,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.kgl:kgl-opengl,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.kgl:kgl-stb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-coroutines-core-native,12,11,0,0,0,0,1,0,0,0,0,0,0,0
se.ansman.kotshi:api,1,1,0,0,0,0,0,0,0,0,0,0,0,0
se.ansman.kotshi:compiler,1,0,0,0,1,0,0,0,0,0,0,0,0,0
org.json:json,43,19,2,0,0,0,3,0,15,1,3,0,0,0
org.jetbrains.kotlin:kotlin-test-junit,197,19,75,0,0,0,7,0,5,0,91,0,0,0
org.mockito:mockito-core,117,5,63,1,0,0,1,0,4,0,41,2,0,0
com.squareup.okhttp3:mockwebserver,41,0,34,0,0,0,1,0,0,0,6,0,0,0
io.fabric8:mockwebserver,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.squareup.okhttp3:logging-interceptor,48,36,1,0,0,0,1,0,7,0,3,0,0,0
org.jmailen.gradle:kotlinter-gradle,4,0,0,0,0,4,0,0,0,0,0,0,0,0
org.jetbrains.dokka:dokka-gradle-plugin,142,25,0,0,0,112,4,0,1,0,0,0,0,0
org.springframework.boot:spring-boot-starter-actuator,49,31,1,0,0,0,3,0,13,1,0,0,0,0
de.codecentric:spring-boot-admin-starter-server,5,3,0,0,0,0,1,0,1,0,0,0,0,0
org.springframework.boot:spring-boot-devtools,18,6,0,0,0,0,0,0,8,0,0,0,0,4
org.springframework.boot:spring-boot-starter-data-jpa,40,29,0,0,0,0,1,0,10,0,0,0,0,0
io.springfox:springfox-swagger2,17,7,0,0,0,0,1,0,9,0,0,0,0,0
io.springfox:springfox-swagger-ui,17,8,0,0,0,0,0,0,9,0,0,0,0,0
io.springfox:springfox-bean-validators,2,1,0,0,0,0,0,0,1,0,0,0,0,0
org.apache.httpcomponents:httpclient,34,11,1,0,0,2,4,0,15,0,1,0,0,0
de.codecentric:spring-boot-admin-starter-client,3,2,0,0,0,0,0,0,1,0,0,0,0,0
io.arrow-kt:arrow-core,25,11,1,0,0,0,1,0,11,1,0,0,0,0
io.arrow-kt:arrow-instances-core,5,1,0,0,0,0,0,0,4,0,0,0,0,0
io.jsonwebtoken:jjwt,11,6,0,0,0,0,0,0,5,0,0,0,0,0
