groupId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
com.facebook.fresco,79,51,0,0,0,0,7,0,20,1,0,0,0,0
com.github.Zhuinden,25,19,0,2,0,0,4,0,0,0,0,0,0,0
org.assertj,428,25,280,19,0,0,5,0,6,0,93,0,0,0
org.apache.maven,41,24,8,0,0,1,2,0,6,0,0,0,0,0
androidx.browser,178,173,0,0,0,0,5,0,0,0,0,0,0,0
android.arch.work,75,63,1,6,0,0,5,0,0,0,0,0,0,0
com.jakewharton.threetenabp,132,112,1,1,0,0,13,0,5,0,0,0,0,0
androidx.multidex,253,231,1,3,0,0,17,0,1,0,0,0,0,0
androidx.palette,106,98,0,0,0,0,8,0,0,0,0,0,0,0
com.trello.rxlifecycle2,99,68,0,0,0,0,10,0,21,0,0,0,0,0
com.tencent.bugly,91,64,0,0,0,14,9,0,4,0,0,0,0,0
com.umeng.umsdk,51,43,0,0,0,1,7,0,0,0,0,0,0,0
com.github.turing-tech,5,5,0,0,0,0,0,0,0,0,0,0,0,0
com.makeramen,23,21,0,0,0,0,0,0,2,0,0,0,0,0
com.liulishuo.okdownload,17,11,0,0,0,0,3,0,0,3,0,0,0,0
com.mpatric,5,5,0,0,0,0,0,0,0,0,0,0,0,0
net.sf.proguard,8,0,0,0,0,8,0,0,0,0,0,0,0,0
com.neenbedankt.gradle.plugins,51,0,0,0,0,51,0,0,0,0,0,0,0,0
com.vanniktech,184,10,1,1,0,172,0,0,0,0,0,0,0,0
com.diffplug.spotless,90,16,0,0,0,74,0,0,0,0,0,0,0,0
com.cleveroad.bootstrap,4,4,0,0,0,0,0,0,0,0,0,0,0,0
androidx.fragment,741,678,7,12,0,0,38,0,0,6,0,0,0,0
com.tbruyelle.rxpermissions2,46,30,0,0,0,0,6,0,10,0,0,0,0,0
com.wuhenzhizao,3,1,0,0,0,0,2,0,0,0,0,0,0,0
com.androidkun,3,1,0,0,0,0,2,0,0,0,0,0,0,0
com.github.stfalcon,14,12,0,0,0,0,0,0,2,0,0,0,0,0
com.firebaseui,71,67,0,0,0,0,0,0,4,0,0,0,0,0
com.chaos.view,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.vincent.filepicker,1,1,0,0,0,0,0,0,0,0,0,0,0,0
de.hdodenhof,194,174,0,0,0,0,8,0,12,0,0,0,0,0
me.shaohui.advancedluban,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.nex3z,8,8,0,0,0,0,0,0,0,0,0,0,0,0
com.mikhaellopez,28,23,0,0,0,0,0,0,5,0,0,0,0,0
androidx.emoji,35,34,0,0,0,0,1,0,0,0,0,0,0,0
com.github.lguipeng,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.skyline.widget,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hbb20,6,6,0,0,0,0,0,0,0,0,0,0,0,0
com.github.medyo,17,14,0,0,0,0,0,0,3,0,0,0,0,0
com.theartofdev.edmodo,24,16,0,0,0,0,6,0,2,0,0,0,0,0
com.yarolegovich,16,13,0,0,0,0,1,0,2,0,0,0,0,0
com.aurelhubert,10,9,0,0,0,0,1,0,0,0,0,0,0,0
com.crashlytics.sdk.android,57,52,0,0,0,0,3,0,0,2,0,0,0,0
com.gauravbhola.ripplepulsebackground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.android.exoplayer,292,266,0,0,0,0,20,0,6,0,0,0,0,0
jp.wasabeef,104,87,0,0,0,0,6,0,11,0,0,0,0,0
com.github.chuross,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.ccil.cowan.tagsoup,8,4,0,0,0,1,0,0,1,2,0,0,0,0
org.twitter4j,9,2,0,0,0,0,3,0,4,0,0,0,0,0
com.android.tools.lint,112,8,32,0,0,0,0,0,5,58,9,0,0,0
com.github.sephiroth74,10,10,0,0,0,0,0,0,0,0,0,0,0,0
co.touchlab,36,27,0,0,0,6,3,0,0,0,0,0,0,0
dev.icerock.moko,14,5,0,0,0,9,0,0,0,0,0,0,0,0
com.github.shabinder,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.accompanist,44,44,0,0,0,0,0,0,0,0,0,0,0,0
org.piwik.java.tracking,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin-wrappers,63,55,0,0,0,0,8,0,0,0,0,0,0,0
com.intuit.sdp,23,23,0,0,0,0,0,0,0,0,0,0,0,0
androidx.hilt,342,187,0,0,150,0,2,3,0,0,0,0,0,0
io.mockk,520,48,394,48,0,0,10,0,0,2,18,0,0,0
io.kotest,251,52,176,2,0,0,20,0,0,1,0,0,0,0
org.sonarsource.scanner.gradle,19,4,0,0,0,15,0,0,0,0,0,0,0,0
org.jacoco,63,6,2,0,0,53,0,0,2,0,0,0,0,0
com.github.xinyuez,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.duolingo.open,4,3,0,0,0,0,1,0,0,0,0,0,0,0
org.jlleitschuh.gradle,126,15,0,0,0,108,1,0,1,1,0,0,0,0
androidx.viewpager,21,20,0,0,0,0,1,0,0,0,0,0,0,0
androidx.viewpager2,223,207,0,0,0,0,14,0,0,2,0,0,0,0
com.estimote,4,2,0,0,0,0,0,0,2,0,0,0,0,0
com.soywiz.korlibs.krypto,4,3,0,0,0,0,1,0,0,0,0,0,0,0
com.soywiz.korlibs.korio,2,0,0,0,0,0,2,0,0,0,0,0,0,0
io.fluidsonic.i18n,1,0,0,0,0,0,1,0,0,0,0,0,0,0
io.fluidsonic.country,1,0,0,0,0,0,1,0,0,0,0,0,0,0
com.soywiz.korlibs.klock,18,15,0,0,0,0,3,0,0,0,0,0,0,0
androidx.documentfile,37,34,0,0,0,0,2,0,0,1,0,0,0,0
org.jetbrains.compose,14,2,0,0,0,12,0,0,0,0,0,0,0,0
com.google.auto.service,280,55,1,0,131,0,5,7,17,64,0,0,0,0
net.ltgt.gradle.incap,8,2,0,0,3,0,0,0,1,2,0,0,0,0
androidx.arch.core,399,31,254,111,0,0,3,0,0,0,0,0,0,0
com.github.tizisdeepan,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.writingminds,5,4,0,0,0,0,0,0,1,0,0,0,0,0
com.github.ViksaaSkool,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.springframework,263,62,11,0,0,0,19,1,143,20,6,0,0,1
io.projectreactor.netty,7,4,1,0,0,0,1,0,1,0,0,0,0,0
com.samskivert,6,0,0,0,0,0,1,0,5,0,0,0,0,0
org.slf4j,618,323,58,1,0,0,35,0,141,11,11,6,8,24
com.fasterxml.jackson.module,509,323,9,2,0,0,41,0,125,2,3,0,0,4
com.fasterxml.jackson.datatype,128,85,2,0,0,0,11,0,30,0,0,0,0,0
io.projectreactor,83,10,37,0,0,0,3,0,22,0,11,0,0,0
com.facebook.react,63,47,1,0,0,0,9,0,5,1,0,0,0,0
com.facebook.android,45,37,0,0,0,0,0,0,8,0,0,0,0,0
io.coil-kt,135,126,0,0,0,0,8,0,0,1,0,0,0,0
com.robertlevonyan.components,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ch.tutteli.atrium,17,8,8,1,0,0,0,0,0,0,0,0,0,0
org.threeten,67,9,21,2,0,0,1,0,31,1,2,0,0,0
org.eclipse.paho,23,20,0,0,0,0,2,0,1,0,0,0,0,0
org.xwalk,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.koushikdutta.async,8,6,0,0,0,0,1,0,1,0,0,0,0,0
io.github.silvaren,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.ramotion.fluidslider,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.romandanylyk,19,18,0,0,0,0,0,0,1,0,0,0,0,0
de.marcphilipp.gradle,5,3,0,0,0,2,0,0,0,0,0,0,0,0
de.jensklingenberg,10,4,0,0,0,3,0,0,3,0,0,0,0,0
com.google.inject,38,9,0,0,0,0,6,0,9,13,1,0,0,0
org.reduxkotlin,4,0,0,0,0,0,4,0,0,0,0,0,0,0
io.jooby,16,12,0,0,1,0,3,0,0,0,0,0,0,0
io.vertx,249,148,8,0,0,5,13,0,66,2,7,0,0,0
io.kvision,339,311,0,0,0,0,28,0,0,0,0,0,0,0
org.testng,40,3,11,1,0,0,1,0,0,0,24,0,0,0
io.javalin,15,5,1,0,0,0,1,0,8,0,0,0,0,0
io.micronaut,82,35,7,0,19,0,9,4,3,3,1,0,0,1
org.springframework.data,17,7,1,0,0,0,2,0,7,0,0,0,0,0
io.github.petertrr,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.squareup.leakcanary,69,21,14,6,0,0,0,0,6,0,22,0,0,0
org.salient.artvideoplayer,5,5,0,0,0,0,0,0,0,0,0,0,0,0
tv.danmaku.ijk.media,37,29,0,0,0,0,2,0,6,0,0,0,0,0
com.kgl,8,8,0,0,0,0,0,0,0,0,0,0,0,0
androidx.exifinterface,98,93,0,0,0,0,1,0,0,4,0,0,0,0
androidx.localbroadcastmanager,43,42,0,0,0,0,1,0,0,0,0,0,0,0
androidx.security,50,47,1,1,0,0,1,0,0,0,0,0,0,0
